system,r,dt,final_time_fidelity,minimum_fidelity,mean_fidelity
harmonic_oscillator,20,0.3141592653589793,0.9971577784878082,0.9962593121595978,0.9987411648026477
harmonic_oscillator,40,0.15707963267948966,0.9998215326790197,0.9997667590347764,0.9999219004261979
harmonic_oscillator,60,0.10471975511965977,0.9999647218588056,0.9999539601262961,0.9999846040554616
harmonic_oscillator,80,0.07853981633974483,0.9999888318147031,0.9999854342893651,0.9999951312529931
harmonic_oscillator,100,0.06283185307179587,0.9999954217164365,0.9999940323764113,0.9999980050351279
