system,N,n_qubits,dx,final_time_fidelity,minimum_fidelity,max_edge_probability
harmonic_oscillator,32,5,0.5,0.9999414086533222,0.9999399242586166,7.570419223396153e-05
harmonic_oscillator,64,6,0.25,0.9999954217164365,0.9999940323764113,5.084141624957183e-07
harmonic_oscillator,128,7,0.125,0.9999954216507848,0.9999940325306627,2.5073113181734544e-08
