time,fidelity,split_norm,reference_norm
0.0,0.999999999995512,1.0,1.0
0.06,0.999999999995512,0.9999999999999998,1.0
0.12,0.9999999999955118,0.9999999999999996,1.0000000000000002
0.18,0.9999999999955116,0.9999999999999989,1.0000000000000002
0.24,0.9999999999955109,0.9999999999999989,1.0
0.3,0.9999999999955109,0.9999999999999984,1.0000000000000002
0.36,0.9999999999955103,0.9999999999999981,1.0000000000000002
0.42,0.9999999999955098,0.9999999999999976,1.0
0.48,0.9999999999955098,0.9999999999999973,1.0000000000000002
0.54,0.9999999999955089,0.9999999999999969,1.0
0.6,0.9999999999955089,0.9999999999999967,1.0000000000000002
0.6599999999999999,0.999999999995508,0.9999999999999963,0.9999999999999998
0.72,0.999999999995508,0.9999999999999958,1.0
0.78,0.9999999999955074,0.9999999999999953,0.9999999999999999
0.84,0.9999999999955071,0.9999999999999951,1.0
0.8999999999999999,0.9999999999955067,0.9999999999999948,0.9999999999999999
0.96,0.9999999999955065,0.9999999999999944,1.0000000000000002
1.02,0.9999999999955058,0.9999999999999942,0.9999999999999999
1.08,0.9999999999955056,0.9999999999999937,0.9999999999999998
1.14,0.9999999999955054,0.9999999999999933,0.9999999999999998
1.2,0.9999999999955054,0.9999999999999931,1.0000000000000002
1.26,0.9999999999955049,0.9999999999999929,1.0000000000000002
1.3199999999999998,0.9999999999955043,0.9999999999999926,0.9999999999999998
1.38,0.9999999999955043,0.999999999999992,1.0
1.44,0.9999999999955043,0.9999999999999918,1.0000000000000002
1.5,0.9999999999955034,0.9999999999999916,0.9999999999999998
1.56,0.9999999999955034,0.9999999999999913,1.0000000000000002
1.6199999999999999,0.9999999999955027,0.9999999999999909,0.9999999999999998
1.68,0.9999999999955027,0.9999999999999903,1.0000000000000002
1.74,0.999999999995502,0.99999999999999,1.0000000000000002
1.7999999999999998,0.9999999999955023,0.9999999999999897,1.0
1.8599999999999999,0.9999999999955014,0.9999999999999896,1.0
1.92,0.9999999999955014,0.9999999999999891,1.0000000000000002
1.98,0.9999999999955009,0.9999999999999887,1.0
2.04,0.9999999999955005,0.9999999999999885,1.0
2.1,0.9999999999955005,0.9999999999999881,1.0
2.16,0.9999999999955005,0.9999999999999878,1.0000000000000004
2.2199999999999998,0.9999999999954998,0.9999999999999875,1.0000000000000002
2.28,0.9999999999954996,0.999999999999987,1.0000000000000002
2.34,0.9999999999954987,0.9999999999999867,1.0
2.4,0.9999999999954987,0.9999999999999865,1.0000000000000004
2.46,0.9999999999954987,0.9999999999999865,1.0000000000000004
2.52,0.9999999999954985,0.999999999999986,1.0000000000000004
2.58,0.9999999999954983,0.9999999999999856,1.0000000000000004
2.6399999999999997,0.9999999999954976,0.9999999999999853,1.0000000000000004
2.6999999999999997,0.9999999999954969,0.9999999999999851,1.0
2.76,0.9999999999954969,0.9999999999999845,1.0000000000000004
2.82,0.9999999999954963,0.9999999999999841,1.0
2.88,0.9999999999954956,0.9999999999999838,1.0
2.94,0.9999999999954954,0.9999999999999832,1.0
3.0,0.9999999999954954,0.9999999999999831,1.0000000000000004
3.06,0.9999999999954947,0.9999999999999829,1.0
3.12,0.9999999999954943,0.9999999999999822,1.0
3.1799999999999997,0.999999999995494,0.9999999999999819,1.0
3.2399999999999998,0.9999999999954938,0.9999999999999815,1.0
3.3,0.9999999999954934,0.999999999999981,1.0
3.36,0.9999999999954932,0.9999999999999809,1.0
3.42,0.9999999999954929,0.9999999999999807,1.0000000000000002
3.48,0.999999999995492,0.9999999999999803,0.9999999999999998
3.54,0.999999999995492,0.9999999999999798,0.9999999999999999
3.5999999999999996,0.9999999999954916,0.9999999999999798,0.9999999999999999
3.6599999999999997,0.9999999999954912,0.9999999999999792,1.0
3.7199999999999998,0.9999999999954909,0.9999999999999788,1.0
3.78,0.9999999999954907,0.9999999999999787,0.9999999999999999
3.84,0.99999999999549,0.9999999999999781,0.9999999999999999
3.9,0.99999999999549,0.9999999999999778,1.0
3.96,0.9999999999954896,0.9999999999999776,1.0
4.02,0.9999999999954889,0.9999999999999771,0.9999999999999999
4.08,0.9999999999954889,0.999999999999977,0.9999999999999999
4.14,0.999999999995488,0.9999999999999765,0.9999999999999999
4.2,0.9999999999954878,0.9999999999999762,0.9999999999999998
4.26,0.999999999995488,0.9999999999999758,1.0000000000000002
4.32,0.9999999999954872,0.9999999999999754,0.9999999999999998
4.38,0.9999999999954872,0.9999999999999749,1.0
4.4399999999999995,0.9999999999954867,0.9999999999999745,1.0
4.5,0.9999999999954863,0.999999999999974,1.0
4.56,0.9999999999954854,0.9999999999999736,1.0
4.62,0.9999999999954856,0.9999999999999731,1.0000000000000004
4.68,0.999999999995485,0.9999999999999729,1.0
4.74,0.999999999995485,0.9999999999999726,1.0000000000000004
4.8,0.9999999999954845,0.999999999999972,1.0000000000000004
4.859999999999999,0.9999999999954841,0.9999999999999719,1.0
4.92,0.9999999999954836,0.9999999999999715,1.0000000000000004
4.9799999999999995,0.9999999999954834,0.9999999999999711,1.0000000000000004
5.04,0.9999999999954832,0.9999999999999708,1.0
5.1,0.9999999999954823,0.9999999999999702,1.0
